Database	Virulence factor	Identity	Query / Template length	Contig	Position in contig	Protein function	Accession number
virulence_ecoli	cba	94.7	943 / 1536	NODE_86_length_7401_cov_486.299973	4368..5310	  Colicin B	FJ664721
virulence_ecoli	cif	99.76	851 / 849	NODE_30_length_56152_cov_27.004512	1119..1969	  Type III secreted effector	AF497476
virulence_ecoli	eae	100.0	2847 / 2847	NODE_40_length_40901_cov_43.861283	12021..14867	  Intimin	AJ303141
virulence_ecoli	efa1	99.99	9672 / 9672	NODE_62_length_19156_cov_46.285340	672..10343	  EHEC factor for adherence	AJ303141
virulence_ecoli	ehxA	100.0	2997 / 2997	NODE_70_length_12077_cov_138.495833	1343..4339	 Enterohaemolysin	HM138194
virulence_ecoli	espA	100.0	579 / 579	NODE_40_length_40901_cov_43.861283	8693..9271	  Type III secretions system	AJ303141
virulence_ecoli	espB	100.0	945 / 945	NODE_40_length_40901_cov_43.861283	6573..7517	  Secreted protein B	AP010958
virulence_ecoli	espF	99.89	885 / 885	NODE_40_length_40901_cov_43.861283	4517..5401	  Type III secretion system	AP010958
virulence_ecoli	espJ	99.24	654 / 654	NODE_39_length_42108_cov_28.568366	3157..3810	  Prophage-encoded type III secretion system effector	AB303060
virulence_ecoli	espP	100.0	3903 / 3903	NODE_98_length_5147_cov_138.874753	691..4593	 Extracellular serine protease plasmid-encoded	GQ259888
virulence_ecoli	hlyE	99.13	918 / 918	NODE_12_length_134598_cov_27.208005	94211..95127	  Avian E.coli haemolysin	ECU57430
virulence_ecoli	iha	100.0	2091 / 2091	NODE_55_length_24945_cov_29.252935	15437..17527	  Adherence protein	AE005174
virulence_ecoli	iss	98.98	294 / 294	NODE_87_length_7173_cov_36.236753	3788..4081	  Increased serum survival	CP001509
virulence_ecoli	iucC	100.0	1743 / 1743	NODE_76_length_11566_cov_35.011750	5346..7088	  Aerobactin synthetase	AAJW02000016
virulence_ecoli	iutA	100.0	2199 / 2199	NODE_76_length_11566_cov_35.011750	1811..4009	  Ferric aerobactin receptor	AAJW02000016
virulence_ecoli	katP	100.0	2211 / 2211	NODE_123_length_2961_cov_119.641123	207..2417	  Plasmid-encoded catalase peroxidase	AB011549
virulence_ecoli	nleA	100.0	1239 / 1239	NODE_30_length_56152_cov_27.004512	3407..4645	  Non-LEE encoded effector A	AB303062
virulence_ecoli	nleB	100.0	990 / 990	NODE_62_length_19156_cov_46.285340	12944..13933	  Non-LEE encoded effector B	AF453441
virulence_ecoli	nleC	99.8	987 / 987	NODE_73_length_11810_cov_25.219893	465..1451	  Non-LEE encoded effector C	AP010953
virulence_ecoli	ompT	100.0	954 / 954	NODE_60_length_21940_cov_33.415862	12941..13894	  Outer membrane protease (protein protease 7)	CYAG01000051
virulence_ecoli	stx1A	100.0	948 / 948	NODE_80_length_9160_cov_35.816580	974..1921	  Shiga toxin 1, subunit A, variant a	AF461168
virulence_ecoli	stx1B	100.0	270 / 270	NODE_80_length_9160_cov_35.816580	695..964	  Shiga toxin 1, subunit B, variant a	AM230663
virulence_ecoli	tccP	100.0	501 / 753	NODE_53_length_26433_cov_27.271172	473..973	  Tir-cytoskeleton coupling protein	AP010953
virulence_ecoli	terC	100.0	1041 / 1041	NODE_55_length_24945_cov_29.252935	11803..12843	  Tellurium ion resistance protein	CP006262
virulence_ecoli	terC	100.0	714 / 714	NODE_9_length_151614_cov_31.173951	39725..40438	  Tellurium ion resistance protein	CP007491
virulence_ecoli	terC	99.79	966 / 966	NODE_8_length_161025_cov_30.699791	65134..66099	  Tellurium ion resistance protein	MG591698
virulence_ecoli	tir	100.0	1617 / 1617	NODE_40_length_40901_cov_43.861283	15531..17147	  Translocated intimin receptor protein	AJ303141
virulence_ecoli	toxB	99.98	9501 / 9501	NODE_63_length_17284_cov_148.246760	4852..14351	  Toxin B	AB456530
virulence_ecoli	traT	100.0	423 / 423	NODE_78_length_10256_cov_34.253365	9558..9980	  Outer membrane protein complement resistance	AKKX01000148
virulence_ecoli	traT	100.0	129 / 129	NODE_91_length_6545_cov_34.399505	6344..6472	  Outer membrane protein complement resistance	AMTE01000156
stx	stx1	100.0	1227 / 1227	NODE_80_length_9160_cov_35.816580	695..1921	O157 FLY16, variant a	AF461168
